Record_ID,Date,State,City,Waste_Type,Waste_Generated_Tons,Waste_Collected_Tons,Segregated_Tons,Recycled_Tons,Composted_Tons,Landfilled_Tons,Collection_Efficiency_Pct,Recycling_Rate_Pct,Disposal_Method,Facility_Type,Year,Month,Month_Name,Quarter,Waste_Per_Capita_Kg
1,2024-12-18,Gujarat,Rajkot,Paper,485.43,375.21,213.79,147.56,8.77,190.25,77.29,69.02,Material Recovery,Recycling Facility,2024,12,Dec,Q4,0.39
2,2024-02-11,Delhi,Delhi,Glass,917.08,878.23,655.82,427.11,24.77,366.49,95.76,65.13,Material Recovery,Landfill,2024,2,Feb,Q1,0.42
3,2023-07-01,Tamil Nadu,Madurai,Dry Waste,622.78,548.5,360.45,162.86,13.17,319.04,88.07,45.18,Landfill,Waste-to-Energy Plant,2023,7,Jul,Q3,0.44
4,2025-01-18,Gujarat,Vadodara,E-Waste,621.17,533.75,330.19,158.25,10.78,317.12,85.93,47.93,Landfill,Waste-to-Energy Plant,2025,1,Jan,Q1,0.36
5,2024-09-10,Tamil Nadu,Chennai,Dry Waste,922.37,756.09,570.33,243.39,23.54,444.22,81.97,42.68,Material Recovery,Waste-to-Energy Plant,2024,9,Sep,Q3,0.37
6,2025-01-18,Tamil Nadu,Chennai,Wet Waste,392.42,350.85,255.74,43.6,114.71,186.2,89.41,17.05,Landfill,Recycling Facility,2025,1,Jan,Q1,0.4
7,2023-02-10,Rajasthan,Udaipur,Wet Waste,470.87,446.43,237.37,22.13,103.84,299.0,94.81,9.32,Recycling,MRF,2023,2,Feb,Q1,0.77
8,2023-11-30,Rajasthan,Kota,Wet Waste,354.45,333.71,227.21,6.82,85.06,207.68,94.15,3.0,Composting,Landfill,2023,11,Nov,Q4,0.47
9,2024-04-21,Odisha,Bhubaneswar,Plastic,528.91,490.58,328.23,182.67,10.61,253.71,92.75,55.65,Recycling,Waste-to-Energy Plant,2024,4,Apr,Q2,0.78
10,2025-03-02,Gujarat,Rajkot,Dry Waste,216.04,192.44,143.96,74.24,5.22,102.49,89.07,51.57,Composting,Composting Plant,2025,3,Mar,Q1,0.43
11,2024-10-27,West Bengal,Howrah,Wet Waste,194.3,161.3,119.36,5.68,45.28,109.83,83.02,4.76,Composting,Composting Plant,2024,10,Oct,Q4,0.82
12,2025-02-24,Kerala,Kochi,Dry Waste,271.8,226.41,150.81,82.53,4.95,124.47,83.3,54.72,Landfill,Landfill,2025,2,Feb,Q1,0.8
13,2024-05-22,Rajasthan,Jaipur,E-Waste,496.53,448.84,315.17,175.91,12.32,224.82,90.4,55.81,Waste-to-Energy,Landfill,2024,5,May,Q2,0.8
14,2023-02-15,Telangana,Nizamabad,Dry Waste,300.76,274.11,231.99,89.29,7.51,175.31,91.14,38.49,Landfill,Landfill,2023,2,Feb,Q1,0.65
15,2024-11-02,Delhi,New Delhi,Wet Waste,616.68,511.26,373.91,69.94,154.86,264.58,82.91,18.71,Landfill,Recycling Facility,2024,11,Nov,Q4,0.52
16,2024-09-18,Odisha,Bhubaneswar,Dry Waste,269.16,226.42,149.09,64.26,4.52,153.53,84.12,43.1,Material Recovery,MRF,2024,9,Sep,Q3,0.67
17,2023-11-28,Rajasthan,Jaipur,Wet Waste,472.8,419.27,367.61,47.94,130.31,237.98,88.68,13.04,Material Recovery,Recycling Facility,2023,11,Nov,Q4,0.46
18,2023-02-11,Karnataka,Bengaluru,Plastic,578.5,486.35,381.23,170.7,16.52,267.31,84.07,44.78,Landfill,Waste-to-Energy Plant,2023,2,Feb,Q1,0.41
19,2025-12-22,Madhya Pradesh,Indore,Wet Waste,157.57,128.65,73.61,9.85,33.52,83.88,81.65,13.38,Composting,Landfill,2025,12,Dec,Q4,0.78
20,2024-07-22,Madhya Pradesh,Bhopal,Dry Waste,522.94,452.52,366.83,188.66,14.84,221.47,86.53,51.43,Material Recovery,MRF,2024,7,Jul,Q3,0.42
21,2023-02-04,Odisha,Bhubaneswar,Paper,212.03,183.83,155.54,91.99,5.34,83.6,86.7,59.14,Composting,MRF,2023,2,Feb,Q1,0.49
22,2024-07-02,Odisha,Cuttack,Wet Waste,142.0,138.37,98.12,16.83,35.0,80.14,97.44,17.15,Waste-to-Energy,Landfill,2024,7,Jul,Q3,0.78
23,2024-04-02,Kerala,Thiruvananthapuram,Paper,494.49,400.74,281.75,180.68,9.64,194.29,81.04,64.13,Landfill,MRF,2024,4,Apr,Q2,0.76
24,2025-11-13,Uttar Pradesh,Kanpur,Wet Waste,599.72,525.69,380.73,51.07,134.85,295.96,87.66,13.41,Landfill,Waste-to-Energy Plant,2025,11,Nov,Q4,0.66
25,2023-07-01,Maharashtra,Dhule,Glass,539.19,432.54,277.22,206.6,8.74,211.64,80.22,74.52,Composting,Recycling Facility,2023,7,Jul,Q3,0.53
26,2023-09-12,Kerala,Thiruvananthapuram,Plastic,439.52,377.21,230.97,118.36,9.73,228.71,85.82,51.25,Composting,Recycling Facility,2023,9,Sep,Q3,0.38
27,2025-12-26,Tamil Nadu,Chennai,Paper,313.17,256.71,170.24,120.42,7.07,115.85,81.97,70.73,Material Recovery,Waste-to-Energy Plant,2025,12,Dec,Q4,0.75
28,2025-10-06,Gujarat,Rajkot,Wet Waste,278.07,245.25,137.96,13.93,47.76,160.84,88.2,10.09,Recycling,Landfill,2025,10,Oct,Q4,0.4
29,2024-07-19,Delhi,Delhi,Dry Waste,589.58,526.61,368.63,155.66,11.28,315.5,89.32,42.23,Material Recovery,Waste-to-Energy Plant,2024,7,Jul,Q3,0.57
30,2023-10-01,Karnataka,Bengaluru,Plastic,619.51,523.0,307.92,189.46,9.46,320.42,84.42,61.53,Recycling,Waste-to-Energy Plant,2023,10,Oct,Q4,0.84
31,2025-05-27,Madhya Pradesh,Gwalior,Metal,538.02,487.35,343.7,260.05,10.96,201.28,90.58,75.66,Composting,Landfill,2025,5,May,Q2,0.66
32,2025-07-28,Rajasthan,Kota,Dry Waste,328.51,295.85,215.85,97.19,7.92,174.06,90.06,45.02,Composting,Waste-to-Energy Plant,2025,7,Jul,Q3,0.37
33,2024-07-07,Telangana,Warangal,Dry Waste,325.68,269.28,179.49,104.82,7.69,144.56,82.68,58.4,Waste-to-Energy,Composting Plant,2024,7,Jul,Q3,0.35
34,2024-08-09,Tamil Nadu,Coimbatore,Paper,462.93,435.0,291.6,199.84,9.92,216.28,93.97,68.53,Composting,MRF,2024,8,Aug,Q3,0.74
35,2024-07-05,Uttar Pradesh,Agra,Wet Waste,443.73,414.91,365.97,65.31,177.46,149.86,93.51,17.85,Material Recovery,Landfill,2024,7,Jul,Q3,0.55
36,2025-05-27,Odisha,Bhubaneswar,Plastic,528.27,448.01,268.19,140.16,10.26,257.19,84.81,52.26,Waste-to-Energy,Recycling Facility,2025,5,May,Q2,0.5
37,2023-05-22,Karnataka,Bengaluru,Plastic,664.48,603.53,426.82,236.08,15.75,330.58,90.83,55.31,Recycling,Recycling Facility,2023,5,May,Q2,0.61
38,2023-05-12,Odisha,Rourkela,Wet Waste,179.07,163.33,128.16,9.53,56.8,87.31,91.21,7.43,Material Recovery,Waste-to-Energy Plant,2023,5,May,Q2,0.52
39,2024-11-26,Kerala,Kozhikode,Dry Waste,293.01,258.09,190.56,106.71,6.89,131.13,88.08,56.0,Recycling,Composting Plant,2024,11,Nov,Q4,0.73
40,2024-08-29,West Bengal,Kolkata,Glass,843.36,793.32,556.23,459.62,22.28,309.14,94.07,82.63,Recycling,Recycling Facility,2024,8,Aug,Q3,0.69
41,2025-08-20,Tamil Nadu,Salem,Wet Waste,430.6,371.41,263.99,59.34,123.42,168.72,86.25,22.48,Material Recovery,Waste-to-Energy Plant,2025,8,Aug,Q3,0.5
42,2024-04-29,Delhi,New Delhi,Dry Waste,596.52,540.79,302.15,89.19,12.78,391.68,90.66,29.52,Material Recovery,Waste-to-Energy Plant,2024,4,Apr,Q2,0.82
43,2024-12-30,Maharashtra,Mumbai,Plastic,954.15,892.71,645.36,362.96,21.54,442.89,93.56,56.24,Material Recovery,Landfill,2024,12,Dec,Q4,0.84
44,2023-08-06,Kerala,Kozhikode,Glass,464.78,406.24,279.59,219.86,10.76,170.39,87.4,78.64,Composting,Landfill,2023,8,Aug,Q3,0.64
45,2023-09-26,Tamil Nadu,Salem,Paper,601.22,542.22,438.61,344.84,13.4,161.94,90.19,78.62,Recycling,MRF,2023,9,Sep,Q3,0.49
46,2024-07-06,Gujarat,Vadodara,E-Waste,451.58,379.22,242.91,75.68,7.94,263.26,83.98,31.16,Waste-to-Energy,MRF,2024,7,Jul,Q3,0.62
47,2025-04-01,Rajasthan,Kota,Wet Waste,444.7,408.44,280.56,8.42,102.34,257.13,91.85,3.0,Waste-to-Energy,Waste-to-Energy Plant,2025,4,Apr,Q2,0.72
48,2025-12-10,Karnataka,Mysuru,Dry Waste,529.0,464.8,340.64,173.37,14.73,247.71,87.86,50.9,Landfill,Recycling Facility,2025,12,Dec,Q4,0.75
49,2023-10-10,Rajasthan,Udaipur,Metal,209.59,184.89,135.87,125.0,4.3,48.36,88.21,92.0,Material Recovery,Waste-to-Energy Plant,2023,10,Oct,Q4,0.77
50,2023-11-30,Tamil Nadu,Chennai,Dry Waste,736.7,654.52,478.71,197.87,15.82,413.61,88.84,41.33,Composting,Waste-to-Energy Plant,2023,11,Nov,Q4,0.73
51,2023-11-24,Odisha,Bhubaneswar,Dry Waste,248.36,206.7,151.88,67.96,5.93,125.89,83.23,44.74,Waste-to-Energy,Recycling Facility,2023,11,Nov,Q4,0.74
52,2025-05-13,Tamil Nadu,Chennai,Plastic,586.31,522.04,495.94,266.74,19.99,231.3,89.04,53.78,Material Recovery,MRF,2025,5,May,Q2,0.53
53,2025-03-14,Madhya Pradesh,Jabalpur,Paper,293.01,245.81,188.43,144.49,5.8,85.21,83.89,76.68,Landfill,Recycling Facility,2025,3,Mar,Q1,0.53
54,2023-07-09,Telangana,Warangal,Dry Waste,508.2,442.07,221.44,79.81,7.8,309.46,86.99,36.04,Waste-to-Energy,Composting Plant,2023,7,Jul,Q3,0.61
55,2024-07-11,West Bengal,Kolkata,Metal,1016.35,931.07,599.65,490.04,23.91,378.82,91.61,81.72,Material Recovery,Composting Plant,2024,7,Jul,Q3,0.77
56,2023-01-12,Uttar Pradesh,Kanpur,Wet Waste,398.86,370.98,234.15,44.92,115.5,196.54,93.01,19.18,Material Recovery,Composting Plant,2023,1,Jan,Q1,0.59
57,2024-12-14,Kerala,Kozhikode,Dry Waste,332.27,324.73,231.58,115.94,8.47,174.8,97.73,50.07,Composting,MRF,2024,12,Dec,Q4,0.63
58,2025-09-21,Karnataka,Bengaluru,Wet Waste,453.61,421.07,272.06,57.63,112.96,216.07,92.82,21.18,Composting,Composting Plant,2025,9,Sep,Q3,0.51
59,2025-07-25,Madhya Pradesh,Gwalior,Plastic,471.78,415.38,299.21,131.45,11.24,245.63,88.04,43.93,Material Recovery,Waste-to-Energy Plant,2025,7,Jul,Q3,0.44
60,2024-06-12,Madhya Pradesh,Indore,E-Waste,563.14,498.25,333.47,123.29,13.97,325.28,88.48,36.97,Landfill,Recycling Facility,2024,6,Jun,Q2,0.8
61,2024-07-20,Madhya Pradesh,Jabalpur,Dry Waste,595.96,532.24,331.82,183.17,10.84,288.75,89.31,55.2,Waste-to-Energy,MRF,2024,7,Jul,Q3,0.48
62,2024-05-06,Odisha,Rourkela,Dry Waste,435.73,386.03,280.33,114.38,10.9,260.03,88.59,40.8,Waste-to-Energy,Landfill,2024,5,May,Q2,0.61
63,2025-12-15,Madhya Pradesh,Indore,Glass,497.15,407.97,273.59,173.52,8.64,216.74,82.06,63.42,Material Recovery,Waste-to-Energy Plant,2025,12,Dec,Q4,0.84
64,2024-08-29,Delhi,Delhi,Plastic,1244.66,1016.46,736.84,490.52,29.84,447.47,81.67,66.57,Recycling,MRF,2024,8,Aug,Q3,0.61
65,2024-07-10,Tamil Nadu,Chennai,Dry Waste,1050.39,950.08,496.42,258.75,20.41,578.82,90.45,52.12,Composting,Waste-to-Energy Plant,2024,7,Jul,Q3,0.56
66,2025-05-29,Rajasthan,Udaipur,Glass,548.35,502.77,267.19,203.88,8.42,276.32,91.69,76.3,Waste-to-Energy,Waste-to-Energy Plant,2025,5,May,Q2,0.49
67,2023-01-09,Uttar Pradesh,Varanasi,E-Waste,537.44,486.11,310.43,169.53,13.04,258.22,90.45,54.61,Material Recovery,Landfill,2023,1,Jan,Q1,0.5
68,2025-01-12,Rajasthan,Jodhpur,Wet Waste,336.68,291.33,243.63,8.95,114.95,151.06,86.53,3.68,Material Recovery,Waste-to-Energy Plant,2025,1,Jan,Q1,0.77
69,2025-02-16,Madhya Pradesh,Indore,Dry Waste,273.1,239.95,141.25,74.35,4.91,153.88,87.86,52.64,Landfill,Recycling Facility,2025,2,Feb,Q1,0.58
70,2025-12-30,Kerala,Thiruvananthapuram,Wet Waste,339.99,299.7,228.23,6.85,91.13,199.16,88.15,3.0,Landfill,Composting Plant,2025,12,Dec,Q4,0.48
71,2023-04-23,Telangana,Hyderabad,Wet Waste,394.16,358.35,219.71,29.48,86.03,221.73,90.92,13.42,Material Recovery,Composting Plant,2023,4,Apr,Q2,0.74
72,2025-04-04,Odisha,Rourkela,Plastic,277.98,246.04,130.26,50.9,5.57,176.2,88.51,39.07,Waste-to-Energy,Landfill,2025,4,Apr,Q2,0.67
73,2024-11-10,Karnataka,Hubballi,Wet Waste,256.29,240.95,177.08,55.0,75.43,107.07,94.01,31.06,Landfill,Waste-to-Energy Plant,2024,11,Nov,Q4,0.63
74,2024-04-25,Kerala,Thiruvananthapuram,Dry Waste,634.84,545.15,357.87,158.06,13.55,323.21,85.87,44.17,Waste-to-Energy,Recycling Facility,2024,4,Apr,Q2,0.5
75,2025-05-04,Tamil Nadu,Salem,Dry Waste,153.01,115.51,71.31,29.76,2.38,71.67,75.49,41.74,Material Recovery,Recycling Facility,2025,5,May,Q2,0.37
76,2024-07-19,Delhi,New Delhi,Dry Waste,160.61,133.01,92.35,52.08,3.67,68.07,82.82,56.39,Composting,Landfill,2024,7,Jul,Q3,0.6
77,2023-09-10,Delhi,New Delhi,Wet Waste,191.32,158.39,110.68,11.42,45.89,90.97,82.79,10.31,Landfill,Recycling Facility,2023,9,Sep,Q3,0.67
78,2025-05-05,Delhi,Delhi,Paper,531.65,509.15,240.28,134.62,9.51,322.77,95.77,56.03,Composting,Waste-to-Energy Plant,2025,5,May,Q2,0.51
79,2024-06-12,Karnataka,Mangaluru,Dry Waste,492.56,440.1,332.22,154.48,14.24,231.05,89.35,46.5,Material Recovery,MRF,2024,6,Jun,Q2,0.61
80,2023-02-04,Karnataka,Mangaluru,Wet Waste,446.63,424.34,347.44,13.32,163.74,210.36,95.01,3.84,Material Recovery,Composting Plant,2023,2,Feb,Q1,0.71
81,2024-05-16,Rajasthan,Udaipur,E-Waste,564.88,503.14,337.14,117.59,12.96,371.72,89.07,34.88,Recycling,MRF,2024,5,May,Q2,0.46
82,2025-06-10,Telangana,Nizamabad,Dry Waste,536.6,491.83,405.74,215.38,13.98,226.18,91.66,53.08,Recycling,Landfill,2025,6,Jun,Q2,0.51
83,2024-02-25,West Bengal,Howrah,Wet Waste,499.4,494.41,431.57,98.72,206.15,177.99,99.0,22.87,Composting,MRF,2024,2,Feb,Q1,0.76
84,2023-06-07,Gujarat,Rajkot,E-Waste,221.9,198.3,112.98,48.12,3.42,146.61,89.36,42.59,Landfill,Recycling Facility,2023,6,Jun,Q2,0.55
85,2024-09-19,Telangana,Hyderabad,Glass,674.07,556.14,380.9,251.51,14.6,259.35,82.51,66.03,Composting,Landfill,2024,9,Sep,Q3,0.73
86,2025-07-05,Uttar Pradesh,Varanasi,Wet Waste,434.35,414.17,332.41,40.92,144.16,213.74,95.36,12.31,Composting,Recycling Facility,2025,7,Jul,Q3,0.76
87,2024-08-06,Kerala,Kozhikode,Plastic,516.11,420.81,281.14,151.08,8.48,253.25,81.53,53.74,Composting,Waste-to-Energy Plant,2024,8,Aug,Q3,0.39
88,2024-03-23,Rajasthan,Jodhpur,Wet Waste,582.05,503.99,365.09,51.79,178.51,239.96,86.59,14.19,Recycling,Waste-to-Energy Plant,2024,3,Mar,Q1,0.69
89,2025-12-13,Odisha,Rourkela,Wet Waste,371.07,288.8,203.0,24.86,85.04,171.97,77.83,12.25,Waste-to-Energy,Landfill,2025,12,Dec,Q4,0.52
90,2025-05-08,West Bengal,Howrah,Plastic,187.57,162.66,101.62,45.57,3.19,100.31,86.72,44.85,Waste-to-Energy,Recycling Facility,2025,5,May,Q2,0.77
91,2023-08-19,Delhi,New Delhi,Dry Waste,496.45,439.07,313.1,159.44,12.06,250.74,88.44,50.92,Composting,Landfill,2023,8,Aug,Q3,0.44
92,2024-10-21,Telangana,Hyderabad,Glass,616.65,582.43,409.51,303.98,13.04,232.09,94.45,74.23,Waste-to-Energy,Composting Plant,2024,10,Oct,Q4,0.79
93,2023-01-26,Maharashtra,Pune,Wet Waste,270.91,240.16,170.13,10.98,62.83,146.03,88.65,6.45,Landfill,Landfill,2023,1,Jan,Q1,0.41
94,2024-05-28,Rajasthan,Jaipur,Wet Waste,157.7,130.82,101.05,12.63,41.99,66.03,82.95,12.5,Composting,Composting Plant,2024,5,May,Q2,0.77
95,2023-12-09,Gujarat,Surat,Paper,588.08,556.82,327.91,192.23,10.17,308.59,94.69,58.62,Material Recovery,Waste-to-Energy Plant,2023,12,Dec,Q4,0.49
96,2024-08-28,Tamil Nadu,Chennai,Wet Waste,933.35,784.03,505.1,44.11,190.62,480.12,84.0,8.73,Material Recovery,MRF,2024,8,Aug,Q3,0.38
97,2024-07-28,Telangana,Warangal,Wet Waste,321.55,293.7,208.6,22.57,77.2,192.23,91.34,10.82,Landfill,Waste-to-Energy Plant,2024,7,Jul,Q3,0.46
98,2025-09-09,Gujarat,Ahmedabad,Wet Waste,428.69,353.85,221.1,33.55,90.28,203.97,82.54,15.18,Waste-to-Energy,Landfill,2025,9,Sep,Q3,0.47
99,2024-09-21,Gujarat,Rajkot,Dry Waste,401.75,390.43,199.87,90.85,8.63,286.06,97.18,45.46,Recycling,Landfill,2024,9,Sep,Q3,0.55
100,2024-07-21,Kerala,Kochi,Dry Waste,401.2,367.03,248.39,120.73,7.89,236.7,91.48,48.61,Landfill,MRF,2024,7,Jul,Q3,0.54
101,2023-06-10,Madhya Pradesh,Gwalior,Plastic,239.38,211.78,168.16,99.09,7.2,94.75,88.47,58.93,Material Recovery,MRF,2023,6,Jun,Q2,0.5
102,2024-05-24,Uttar Pradesh,Lucknow,Dry Waste,402.27,366.13,148.99,76.08,6.02,261.4,91.02,51.06,Recycling,Landfill,2024,5,May,Q2,0.81
103,2025-01-17,Kerala,Kozhikode,Wet Waste,307.06,264.36,244.35,29.28,113.01,107.64,86.1,11.98,Composting,Composting Plant,2025,1,Jan,Q1,0.72
104,2024-04-25,Odisha,Cuttack,Plastic,136.16,110.03,74.21,34.18,2.7,63.59,80.81,46.06,Recycling,Recycling Facility,2024,4,Apr,Q2,0.49
105,2024-06-28,Kerala,Thiruvananthapuram,Glass,295.38,244.43,198.1,136.1,7.61,92.76,82.75,68.7,Waste-to-Energy,Composting Plant,2024,6,Jun,Q2,0.5
106,2024-01-11,Odisha,Cuttack,Wet Waste,475.74,434.1,331.3,9.94,158.38,255.79,91.25,3.0,Material Recovery,Composting Plant,2024,1,Jan,Q1,0.75
